Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cam Reddish,SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2
J.J. Redick,SG,36,NOP,31,0,18.6,2.8,6.9,.407,1.6,4.5,.364,1.2,2.4,.486,.526,1.5,1.5,.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
Paul Reed,PF,21,PHI,5,0,11.0,1.8,4.4,.409,0.0,0.6,.000,1.8,3.8,.474,.409,0.0,0.0,,1.4,0.6,2.0,0.6,0.2,0.8,1.0,0.8,3.6
Naz Reid,C,21,MIN,36,13,20.5,4.7,9.0,.520,0.9,2.7,.337,3.8,6.3,.599,.571,1.6,2.2,.734,1.1,3.6,4.7,1.3,0.6,1.3,1.1,3.0,11.9
Nick Richards,PF,23,CHO,9,0,3.1,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.7,1.0,.667,0.2,0.6,0.8,0.0,0.0,0.0,0.1,0.4,1.3
Josh Richardson,SG,27,DAL,28,28,31.8,4.8,10.8,.444,1.7,5.3,.320,3.1,5.5,.561,.522,2.3,2.5,.929,0.9,2.3,3.2,2.8,0.9,0.3,1.5,2.7,13.6
Austin Rivers,SG,28,NYK,21,2,21.0,2.8,6.4,.430,1.3,3.7,.364,1.4,2.8,.517,.533,0.5,0.7,.714,0.2,2.0,2.2,2.0,0.6,0.0,1.0,1.5,7.3
Andre Roberson,SG,29,BRK,5,0,12.6,0.4,2.8,.143,0.2,1.6,.125,0.2,1.2,.167,.179,0.2,0.4,.500,1.4,1.6,3.0,0.8,0.6,0.2,0.4,0.8,1.2
Duncan Robinson,SF,26,MIA,38,38,33.0,4.2,9.8,.426,3.3,8.4,.392,0.9,1.4,.630,.594,1.1,1.3,.840,0.1,3.8,3.9,1.6,0.5,0.2,1.3,2.4,12.8
Glenn Robinson III,SF,27,SAC,23,2,16.0,1.8,4.3,.424,0.7,1.9,.364,1.1,2.4,.473,.505,0.9,1.0,.913,0.5,1.5,2.0,0.9,0.2,0.1,0.5,1.0,5.3
Jerome Robinson,SG,23,WAS,13,3,17.0,1.7,5.2,.328,0.7,2.4,.290,1.0,2.8,.361,.396,1.2,1.3,.882,0.2,2.4,2.5,1.4,0.5,0.2,0.8,1.6,5.2
Mitchell Robinson,C,22,NYK,27,27,28.8,3.8,5.8,.660,0.0,0.0,,3.8,5.8,.660,.660,0.8,1.7,.478,3.6,4.8,8.4,0.5,1.2,1.5,0.8,2.9,8.4
Isaiah Roby,PF,22,OKC,32,13,21.4,3.4,6.3,.532,0.6,1.8,.339,2.8,4.6,.605,.579,1.3,1.8,.724,1.5,3.8,5.3,1.8,0.8,0.6,1.4,2.7,8.7
Rajon Rondo,PG,34,ATL,22,2,14.8,1.6,4.0,.398,0.8,1.9,.415,0.8,2.1,.383,.494,0.0,0.1,.500,0.2,2.0,2.2,3.4,0.6,0.1,1.3,0.8,4.0
Derrick Rose,PG,32,TOT,25,3,23.5,5.0,11.7,.430,0.9,2.4,.377,4.1,9.3,.444,.469,2.5,3.0,.851,0.3,1.9,2.2,4.5,1.2,0.4,1.9,1.2,13.5
Terrence Ross,SG,29,ORL,35,2,29.5,5.6,13.6,.410,2.1,6.1,.344,3.5,7.5,.462,.486,2.3,2.6,.900,0.3,3.1,3.5,2.2,1.1,0.5,1.7,1.8,15.5
Terry Rozier,SG,26,CHO,35,35,33.1,7.3,15.1,.486,3.4,7.8,.432,3.9,7.3,.543,.598,2.3,2.8,.825,0.5,3.2,3.7,3.2,1.4,0.3,2.0,1.9,20.3
Ricky Rubio,PG,30,MIN,36,21,25.6,2.7,6.8,.390,0.8,2.4,.318,1.9,4.5,.429,.445,1.9,2.3,.831,0.4,2.7,3.1,6.5,1.3,0.0,2.1,2.2,8.0
D'Angelo Russell,PG,24,MIN,20,19,29.2,7.0,16.3,.426,3.0,7.4,.399,4.0,8.9,.449,.517,2.4,3.2,.750,0.5,2.2,2.6,5.1,1.1,0.5,2.7,2.0,19.3
Domantas Sabonis,PF,24,IND,37,37,36.6,7.8,14.9,.527,0.9,2.7,.327,6.9,12.1,.572,.557,4.2,5.9,.719,2.5,8.7,11.2,6.2,1.1,0.6,3.4,3.5,20.8
